Depth,Age, Pinus                                         ,Abies,Picea,Juniperus-Type, Pseudotsuga                          ,Tsuga, Ephedra nevadensis#                    ,Ephedra torreyana    , Populus#                                      , Acer                                       , Quercus                               , Juglans, Aesculus,Lithocarpus /  Castanopsis   ,Liquidambar, Garrya / Fremontia        , Rhizophora                , Platanus                         ,RHAMNACEAE                                      , ROSACEAE                                        ,Dodonea           ,Simmondsia     , Bursera                            , Ceanothus                         , Lonicera                                   , Celtis                  ,Eucalyptus                                , Salix                                    , Myrica                                  , Alnus                                      , Artemisia                            , Prosopsis /  Olneya               ,Ambrosia                                 ,Liguliflorae                                    ,High-Spine-COMPOSITAE                      ,Low-Spine-COMPOSITAE                      ,MALVACEAE ,CRUCIFERAE,Arceuthobium,CARYOPHYLLACEAE,RUBIACEAE,EUPHORBIACEAE,LEGUMINOSAE,Dalea,LABIATAE,Salvia,Eriogonum,Polygonum persicaria, Rumex,NYCTAGINACEAE                                   ,Plantago,POLEMONIACEAE                                   ,Gilia, Navarretia                       ,UMBELLIFERAE                                    ,ONAGRACEAE      ,Rhus, ERA - type                                      , GRAMINEAE                                       , Cheno/Am - type                                 , Sarcobatus                            ,Typha / Sparganium            ,CYPERACEAE                                      , LILIACEAE / AGAVACEAE                       , Alternanthera, Potamogeton                         , Isoetes                                ,Dryopteris                                 ,Pteridium                         ,Athyrium                     ,Selaginella                         , Botrychium                       ,Monolete                                        ,Trilete                         ,Pediastrum                       ,Indeterminate                                   , Unknown                                         , Redeposited     , Total           ,Control                                         ,APFAC           ,Other1,Other2,Other3,Other4,Other5,Other6,NoID
87.3,105681.87,6.681034483,0,0.215517241,20.25862069,0,0,0,0,0,0.431034483,10.56034483,0,0,0,0,0,0,0,0,0,0.215517241,0,0,0,0,0.431034483,0,0.431034483,0,0,2.801724138,0,23.27586207,0,4.310344828,0,0,0.215517241,0.431034483,0,0,0,0,0,0,0,0.215517241,0.215517241,0,0,0,0,0,0,0,0,0,2.370689655,3.232758621,13.57758621,0,0,0.215517241,0.215517241,0,0,0,0,0,0,0.431034483,0,0,0,0,3.232758621,6.034482759,0,100,117.6724138,0,32.97413793,0,51.50862069,156.0344828,7.974137931,215.5172414,0
88.8,107694.72,13.87559809,0,0,24.88038278,0,0,0.23923445,0,0,0.23923445,11.00478469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23923445,0,0,0,0.23923445,3.110047847,0,15.07177033,0,2.870813397,0,0,0,0.23923445,0,0,0,0,0,0,0,0.4784689,0,0,0,0,0,0,0,0,0,0,0.956937799,1.674641148,17.22488038,0,0,0,0,0.4784689,0,0,0,0,0,0.956937799,0,0,0.23923445,0,1.435406699,4.545454545,0,100,85.16746411,0,31.10047847,0,22.00956938,210.5263158,6.698564593,239.2344498,0
90.6,110110.14,4.392764858,0,0,21.70542636,0,0,0,1.033591731,0,0,4.392764858,0,0,0,0,0,0,0,0,0,0.258397933,0,0,0,0,1.033591731,0,1.033591731,0,0,1.80878553,0,36.69250646,0,3.617571059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.359173127,12.66149871,0.258397933,0,0.258397933,0,0,0,0,0,0,0,0.258397933,0,0,0,0,4.651162791,2.583979328,0,100,109.0439276,0,31.5245478,0,26.87338501,216.5374677,14.9870801,258.3979328,0
91.7,111586.23,4.62962963,0,0,17.82407407,0,0,0,0.231481481,0,0,5.092592593,0,0,0,0,0,0,0,0.231481481,0,0.231481481,0.231481481,0,0,0,0.462962963,0,0.231481481,0,0,1.62037037,0,33.7962963,0,4.62962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.703703704,3.472222222,17.59259259,0,0,0,0,0.231481481,0,0,0,0,0,0,0,0,0,0,1.62037037,4.166666667,0,100,137.037037,0,38.42592593,0,26.85185185,192.5925926,12.03703704,231.4814815,0
93.3,113733.27,10.16260163,0,0,13.82113821,0,0,0,0,0,0.406504065,3.658536585,0,0,0,0,0,0,0,0,0,0.406504065,0,0,0,0,0,0,0.406504065,0,0,1.219512195,0,39.43089431,0,3.658536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219512195,3.25203252,15.04065041,0,0,0,0,0.406504065,0,0,0,0,0,0.81300813,0,0,0,0,4.06504065,2.032520325,0,100,121.9512195,0,40.6504065,0,38.61788618,348.3739837,19.51219512,406.504065,0
95.3,116417.07,10.50420168,0,0.280112045,11.62464986,0,0,0,0,0,0.140056022,4.62184874,0,0,0,0,0,0,0,0,0,0.56022409,0,0,0,0,0.140056022,0,0,0,0.420168067,2.380952381,0,31.93277311,0,2.661064426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700280112,6.582633053,20.44817927,0,0,0.700280112,0.140056022,0.280112045,0,0,0,0,0,0,0,0,0,0,2.380952381,3.081232493,0,100,84.17366947,0,29.27170868,0,13.16526611,122.1288515,4.761904762,140.0560224,0
96.6,118161.54,8.115183246,0,0,14.92146597,0,0,0,0.785340314,0,0.523560209,15.44502618,0,0,0,0,0.261780105,0,0,0,0,0,0,0,0,0,0,0,0.785340314,0,0.261780105,2.617801047,0,17.53926702,0,5.235602094,0,0.261780105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261780105,0,0,0,1.832460733,2.356020942,21.72774869,0,0,0.261780105,0.261780105,0,0,0,0,0,0,0.523560209,0,0,0,0,1.832460733,4.188481675,0,100,124.3455497,0,44.5026178,0,27.48691099,225.6544503,8.638743456,261.7801047,0
98.1,120174.39,13,0,0,15,0,0,0,0.333333333,0,0.666666667,3,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0.333333333,0,29.33333333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,7,19.66666667,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0,2.333333333,3.666666667,0,100,66.66666667,0,23,0,33.33333333,289,11,333.3333333,0
103.3,127152.27,7.5,0,0,20.25,0,0,0,0.5,0,0,16.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1.5,0,16.75,0,4.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,5,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,3.5,0,100,245.25,0,59.5,0,24.5,219,6.5,250,0
104.6,128896.74,9.316770186,0,0,16.14906832,0,0,0,0.310559006,0,0,14.9068323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310559006,0,0,0,0,1.863354037,0,31.67701863,0,1.552795031,0,0,0,0,0,0,0,0,0,0,0,0.310559006,0,0,0,0,0,0,0,0,0,0,3.416149068,2.48447205,13.66459627,0,0,0.310559006,0,0,0,0,0,0,0,0,0,0,0,0,1.242236025,2.48447205,0,100,93.16770186,0,26.70807453,0,32.60869565,267.0807453,10.86956522,310.5590062,0
