Core Depth,measured sample volume cc,CRUC EMPTY      gm,CR + WET SED   gm,wet weight,CR + DRY SED 100C gm,dry weight, water weight,% H2O (wet weight),Dry gm / cc,CR + MIN 550C        gm,LOI,% organics (dry weight),CR + ASH 1000C     gm,carbonates,% carbonates (dry weight),% non-carbonate inorganics (dry weight)
101.5,1.25,14.4475,16.1578,1.71,14.8620,0.4145,1.2958,75.76,0.3316,14.7970,0.0650,15.68,14.7888,0.0082,1.978287093,82.3402
106,1.25,16.0198,17.8464,1.83,16.4239,0.4041,1.4225,77.88,0.3233,16.3679,0.0560,13.86,16.357,0.0109,2.697352141,83.4447
107,1.25,14.9998,16.7479,1.75,15.4320,0.4322,1.3159,75.28,0.3458,15.3581,0.0739,17.10,15.35,0.0081,1.874132346,81.0273
110,0.675,14.9732,16.5746,1.60,15.3036,0.3304,1.2710,79.37,0.4895,15.2459,0.0577,17.46,15.2398,0.0061,1.846246973,80.6901
114,1.25,14.8923,16.5429,1.65,15.2526,0.3603,1.2903,78.17,0.2882,15.1944,0.0582,16.15,15.1876,0.0068,1.887316125,81.9595
118,1.25,16.7660,18.4519,1.69,17.0949,0.3289,1.3570,80.49,0.2631,17.0436,0.0513,15.60,17.0335,0.0101,3.070842201,81.3317
119,1.25,14.2232,15.9522,1.73,14.6730,0.4498,1.2792,73.98,0.3598,14.6002,0.0728,16.18,14.5917,0.0085,1.889728768,81.9253
130,1.25,15.2312,17.0180,1.79,15.7242,0.4930,1.2938,72.41,0.3944,15.6588,0.0654,13.27,15.6497,0.0091,1.845841785,84.8884
147.5,1.25,15.6865,17.4309,1.74,16.1362,0.4497,1.2947,74.22,0.3598,16.0726,0.0636,14.14,16.0614,0.0112,2.490549255,83.3667
151,0.625,14.4158,15.4184,1.00,14.6942,0.2784,0.7242,72.23,0.4454,14.6556,0.0386,13.86,14.6499,0.0057,2.047413793,84.0876
159,1.25,17.1721,18.8154,1.64,17.5705,0.3984,1.2449,75.76,0.3187,17.5108,0.0597,14.98,17.5023,0.0085,2.133534137,82.8815
167,1.25,14.2493,15.9462,1.70,14.6593,0.4100,1.2869,75.84,0.3280,14.5986,0.0607,14.80,14.5902,0.0084,2.048780488,83.1463
176,1.25,16.9999,18.7146,1.71,17.4246,0.4247,1.2900,75.23,0.3398,17.3536,0.0710,16.72,17.343,0.0106,2.495879444,80.7864
180,1.25,16.1217,17.8112,1.69,16.5562,0.4345,1.2550,74.28,0.3476,16.4942,0.0620,14.27,16.4835,0.0107,2.46260069,83.2681
180.5,1.25,16.0787,17.8400,1.76,16.5199,0.4412,1.3201,74.95,0.3530,16.4654,0.0545,12.35,16.4546,0.0108,2.447869447,85.1995
184.5,1.25,13.5603,15.3032,1.74,14.0256,0.4653,1.2776,73.30,0.3722,13.9589,0.0667,14.33,13.9498,0.0091,1.955727488,83.7094
188.5,1.25,15.9994,17.7454,1.75,16.4833,0.4839,1.2621,72.29,0.3871,16.4182,0.0651,13.45,16.4081,0.0101,2.087208101,84.4596
192.5,1.25,14.5398,16.3007,1.76,15.0192,0.4794,1.2815,72.78,0.3835,14.9522,0.0670,13.98,14.943,0.0092,1.919065499,84.1051
196.5,1.25,15.3338,17.0621,1.73,15.8806,0.5468,1.1815,68.36,0.4374,15.7942,0.0864,15.80,15.7809,0.0133,2.432333577,81.7666
200.5,1.25,16.9968,18.6619,1.67,17.4003,0.4035,1.2616,75.77,0.3228,17.3158,0.0845,20.94,17.305,0.0108,2.676579926,76.3817
208.5,1.25,16.2881,17.9636,1.68,16.8352,0.5471,1.1284,67.35,0.4377,16.7779,0.0573,10.47,16.7685,0.0094,1.718150247,87.8084
210,1.25,15.2974,17.1308,1.83,15.8569,0.5595,1.2739,69.48,0.4476,15.7748,0.0821,14.67,15.7654,0.0094,1.680071492,83.6461
216,1.25,15.6207,17.4053,1.78,16.0672,0.4465,1.3381,74.98,0.3572,16.0123,0.0549,12.30,16.0012,0.0111,2.48600224,85.2184
